,Referee,Degree_Centrality,Betweenness_Centrality,Pagerank_Centrality,Component_Size
0,1,0.0,0.0,0.0014756517461896202,1.0
1,2,0.0,0.0,0.0014756517461896202,1.0
2,3,0.006211180124223602,0.0,0.009837678307917987,2.0
3,4,0.0,0.0,0.0014756517461896202,1.0
4,5,0.006211180124223602,0.0,0.009837678307917987,2.0
5,6,0.0,0.0,0.0014756517461896202,1.0
6,7,0.006211180124223602,0.0,0.009837678307917987,2.0
7,8,0.0,0.0,0.0014756517461896202,1.0
8,9,0.0,0.0,0.0014756517461896202,1.0
9,10,0.0,0.0,0.0014756517461896202,1.0
10,11,0.012422360248447204,0.0,0.008058523673014002,4.0
11,12,0.03105590062111801,0.0,0.00983767830791799,6.0
12,13,0.018633540372670808,0.0,0.008851640774691652,6.0
13,14,0.018633540372670808,0.0,0.008851640774691652,6.0
14,15,0.006211180124223602,0.0,0.009837678307917987,2.0
15,16,0.0,0.0,0.0014756517461896202,1.0
16,17,0.0,0.0,0.0014756517461896202,1.0
17,18,0.006211180124223602,0.0,0.00681253358614896,4.0
18,19,0.0,0.0,0.0014756517461896202,1.0
19,20,0.0,0.0,0.0014756517461896202,1.0
20,21,0.012422360248447204,0.0,0.008058523673014002,4.0
21,22,0.0,0.0,0.0014756517461896202,1.0
22,23,0.0,0.0,0.0014756517461896202,1.0
23,24,0.0,0.0,0.0014756517461896202,1.0
24,25,0.0,0.0,0.0014756517461896202,1.0
25,26,0.0,0.0,0.0014756517461896202,1.0
26,27,0.012422360248447204,0.0,0.009837678307917987,3.0
27,28,0.0,0.0,0.0014756517461896202,1.0
28,29,0.0,0.0,0.0014756517461896202,1.0
29,30,0.012422360248447204,0.0,0.006343675848626253,6.0
30,31,0.0,0.0,0.0014756517461896202,1.0
31,32,0.0,0.0,0.0014756517461896202,1.0
32,33,0.0,0.0,0.0014756517461896202,1.0
33,34,0.0,0.0,0.0014756517461896202,1.0
34,35,0.006211180124223602,0.0,0.009837678307917987,2.0
35,36,0.006211180124223602,0.0,0.009837678307917987,2.0
36,37,0.018633540372670808,0.0,0.009837678307917985,4.0
37,38,0.012422360248447204,0.0,0.009837678307917987,3.0
38,39,0.0,0.0,0.0014756517461896202,1.0
39,40,0.0,0.0,0.0014756517461896202,1.0
40,41,0.012422360248447204,0.0,0.006343675848626253,6.0
41,42,0.006211180124223602,0.0,0.009837678307917987,2.0
42,43,0.006211180124223602,0.0,0.009837678307917987,2.0
43,44,0.012422360248447204,0.0,0.009837678307917987,3.0
44,45,0.012422360248447204,0.0,0.009837678307917987,3.0
45,46,0.0,0.0,0.0014756517461896202,1.0
46,47,0.0,0.0,0.0014756517461896202,1.0
47,48,0.024844720496894408,0.0003881987577639752,0.010211864709423065,9.0
48,49,0.018633540372670808,0.0002329192546583851,0.018913112473225087,4.0
49,50,0.0,0.0,0.0014756517461896202,1.0
50,51,0.006211180124223602,0.0,0.009837678307917987,2.0
51,52,0.0,0.0,0.0014756517461896202,1.0
52,53,0.012422360248447204,0.0,0.009837678307917987,3.0
53,54,0.0,0.0,0.0014756517461896202,1.0
54,55,0.006211180124223602,0.0,0.009837678307917987,2.0
55,56,0.0,0.0,0.0014756517461896202,1.0
56,57,0.006211180124223602,0.0,0.009837678307917987,2.0
57,58,0.006211180124223602,0.0,0.00681253358614896,4.0
58,59,0.006211180124223602,0.0,0.00681253358614896,4.0
59,60,0.0,0.0,0.0014756517461896202,1.0
60,61,0.006211180124223602,0.0,0.009837678307917987,2.0
61,62,0.018633540372670808,0.0,0.009837678307917985,4.0
62,63,0.006211180124223602,0.0,0.009837678307917987,2.0
63,64,0.0,0.0,0.0014756517461896202,1.0
64,65,0.0,0.0,0.0014756517461896202,1.0
65,66,0.0,0.0,0.0014756517461896202,1.0
66,67,0.0,0.0,0.0014756517461896202,1.0
67,68,0.024844720496894408,0.0003881987577639752,0.010211864709423065,9.0
68,69,0.024844720496894408,0.0,0.009498930910653038,9.0
69,70,0.006211180124223602,0.0,0.009837678307917987,2.0
70,71,0.0,0.0,0.0014756517461896202,1.0
71,72,0.012422360248447204,0.0,0.009837678307917987,3.0
72,73,0.006211180124223602,0.0,0.009837678307917987,2.0
73,74,0.012422360248447204,0.0,0.009837678307917987,3.0
74,75,0.012422360248447204,0.0,0.009837678307917987,3.0
75,76,0.018633540372670808,0.0,0.009837678307917985,4.0
76,77,0.03105590062111801,0.0001940993788819876,0.014317718300436065,6.0
77,78,0.03105590062111801,0.0001940993788819876,0.014317718300436065,6.0
78,79,0.0,0.0,0.0014756517461896202,1.0
79,80,0.0,0.0,0.0014756517461896202,1.0
80,81,0.006211180124223602,0.0,0.009837678307917987,2.0
81,82,0.012422360248447204,0.0,0.009837678307917987,3.0
82,83,0.018633540372670808,3.881987577639752e-05,0.01161683294282197,4.0
83,84,0.018633540372670808,3.881987577639752e-05,0.01161683294282197,4.0
84,85,0.006211180124223602,0.0,0.009837678307917987,2.0
85,86,0.006211180124223602,0.0,0.009837678307917987,2.0
86,87,0.0,0.0,0.0014756517461896202,1.0
87,88,0.0,0.0,0.0014756517461896202,1.0
88,89,0.018633540372670808,0.0,0.009837678307917985,4.0
89,90,0.0,0.0,0.0014756517461896202,1.0
90,91,0.03105590062111801,0.0,0.00983767830791799,6.0
91,92,0.0,0.0,0.0014756517461896202,1.0
92,93,0.018633540372670808,3.881987577639752e-05,0.01161683294282197,4.0
93,94,0.006211180124223602,0.0,0.009837678307917987,2.0
94,95,0.0,0.0,0.0014756517461896202,1.0
95,96,0.0,0.0,0.0014756517461896202,1.0
96,97,0.012422360248447204,0.0,0.009837678307917987,3.0
97,98,0.012422360248447204,0.0,0.009837678307917987,3.0
98,99,0.018633540372670808,3.881987577639752e-05,0.01161683294282197,4.0
99,100,0.0,0.0,0.0014756517461896202,1.0
100,101,0.006211180124223602,0.0,0.009837678307917987,2.0
101,102,0.0,0.0,0.0014756517461896202,1.0
102,103,0.006211180124223602,0.0,0.009837678307917987,2.0
103,104,0.018633540372670808,0.0,0.008114935244294868,9.0
104,105,0.018633540372670808,0.0,0.008114935244294868,9.0
105,106,0.0,0.0,0.0014756517461896202,1.0
106,107,0.0,0.0,0.0014756517461896202,1.0
107,108,0.012422360248447204,0.0,0.009837678307917987,3.0
108,109,0.024844720496894408,0.0,0.009498930910653038,9.0
109,110,0.03105590062111801,0.0,0.00983767830791799,6.0
110,111,0.006211180124223602,0.0,0.009837678307917987,2.0
111,112,0.0,0.0,0.0014756517461896202,1.0
112,113,0.0,0.0,0.0014756517461896202,1.0
113,114,0.006211180124223602,0.0,0.009837678307917987,2.0
114,115,0.0,0.0,0.0014756517461896202,1.0
115,116,0.0,0.0,0.0014756517461896202,1.0
116,117,0.018633540372670808,0.0,0.009837678307917985,4.0
117,118,0.018633540372670808,0.0,0.009837678307917985,4.0
118,119,0.024844720496894408,0.0,0.009498930910653038,9.0
119,120,0.0,0.0,0.0014756517461896202,1.0
120,121,0.037267080745341616,0.0,0.009837678307917984,7.0
121,122,0.0,0.0,0.0014756517461896202,1.0
122,123,0.0,0.0,0.0014756517461896202,1.0
123,124,0.018633540372670808,0.0,0.009837678307917985,4.0
124,125,0.0,0.0,0.0014756517461896202,1.0
125,126,0.012422360248447204,0.0,0.008058523673014002,4.0
126,127,0.0,0.0,0.0014756517461896202,1.0
127,128,0.018633540372670808,0.0,0.009837678307917985,4.0
128,129,0.0,0.0,0.0014756517461896202,1.0
129,130,0.037267080745341616,0.0012422360248447205,0.013889781221213858,9.0
130,131,0.012422360248447204,0.0,0.009837678307917987,3.0
131,132,0.037267080745341616,0.0,0.009837678307917984,7.0
132,133,0.037267080745341616,0.0,0.009837678307917984,7.0
133,134,0.037267080745341616,0.0,0.009837678307917984,7.0
134,135,0.0,0.0,0.0014756517461896202,1.0
135,136,0.0,0.0,0.0014756517461896202,1.0
136,137,0.018633540372670808,0.0,0.009837678307917985,4.0
137,138,0.0,0.0,0.0014756517461896202,1.0
